ligandName,Frames,mode,complex,receptor,ligand,Internal,Van der Waals,Electrostatic,Polar Solvation,Non-Polar Solvation,Gas,Solvation,TOTAL,status
ligand,62,gb,1681.9278926400002,1649.25711872,76.10745424,1.0480505352461479e-13,-41.95899999999994,-8.872999999999887,12.464699999999947,-5.069380320000004,-50.83209999999991,7.395319679999945,-43.43678031999997,S
ligand,63,gb,1769.1684204000003,1730.95345448,84.18663511999999,-2.0961010704922958e-13,-43.882799999999975,-9.572000000000008,12.67090000000007,-5.1877692,-53.45479999999995,7.483130800000071,-45.97166919999987,S
ligand,64,gb,1720.2069007199996,1683.7107567999997,75.99284951999998,1.1191048088221579e-13,-37.512699999999896,-9.82360000000016,12.654400000000043,-4.814805600000007,-47.3363,7.839594400000038,-39.49670559999996,S
ligand,65,gb,1733.5202999199996,1700.57735128,77.81068968,-1.5631940186722204e-13,-43.2651999999999,-7.070300000000198,10.56450000000004,-5.09674103999999,-50.33539999999997,5.46775896000005,-44.86764103999992,S
ligand,66,gb,1703.9815356800002,1661.3114724000006,79.34229064,1.1013412404281553e-13,-35.73840000000001,-8.363400000000109,11.949400000000033,-4.51982736000001,-44.101799999999926,7.429572640000023,-36.6722273599999,S
ligand,67,gb,1673.1967896799997,1629.8119556000004,81.5984244,-7.815970093361102e-14,-36.45619999999994,-9.218900000000122,12.205900000000018,-4.744390320000015,-45.67500000000013,7.461509680000002,-38.213490320000126,S
ligand,68,gb,1664.060032560001,1627.2602228800004,76.7558472,1.8118839761882557e-13,-38.24579999999983,-8.156399999999731,11.144300000000015,-4.698137519999992,-46.40219999999952,6.446162480000023,-39.9560375199995,S
ligand,69,gb,1698.1647800799997,1663.1147300799996,75.35017103999999,-1.8118839761882557e-13,-38.78760000000003,-9.63049999999994,12.829700000000084,-4.7117210400000005,-48.41809999999994,8.117978960000084,-40.30012103999985,S
ligand,70,gb,1725.895196,1690.8053522399996,73.43672656000001,-1.0658141036401505e-13,-36.06059999999989,-10.311199999999882,12.842700000000006,-4.817782799999992,-46.371799999999794,8.024917200000015,-38.346882799999776,S
ligand,71,gb,1626.5472322399992,1583.5871776799995,81.00936207999999,0.000100000000085,-36.92920000000005,-7.488600000000032,10.609599999999972,-4.241207520000005,-44.41780000000014,6.368392479999967,-38.04940752000017,S
ligand,72,gb,1631.6008287199998,1579.0333769599995,89.92181391999998,-1.4921397450962106e-13,-36.56390000000004,-6.775099999999743,10.307700000000008,-4.323062160000003,-43.33899999999977,5.984637840000005,-37.354362159999766,S
ligand,73,gb,1684.39484248,1652.95036864,70.17971272000001,9.999999993226538e-05,-37.97999999999981,-6.72859999999986,10.871999999999982,-4.89873888,-44.70859999999981,5.973261119999982,-38.73533887999983,S
ligand,74,gb,1686.379098160001,1642.5865748000003,78.41449968,-9.99999999145018e-05,-34.59650000000015,-5.768400000000167,9.978500000000055,-4.235476319999995,-40.3650000000001,5.743023680000063,-34.62197632000004,S
ligand,75,gb,1640.32079128,1598.1062680799996,77.30199952000001,9.999999985943477e-05,-33.84839999999981,-8.801100000000247,11.647099999999975,-4.085176320000011,-42.64939999999998,7.561923679999966,-35.087476320000015,S
ligand,76,gb,1771.3998948799997,1719.89137664,87.85879175999999,1.9539925233402758e-13,-34.88130000000016,-9.504400000000247,12.477100000000032,-4.441673520000011,-44.38590000000037,8.035426480000021,-36.35047352000035,S
ligand,77,gb,1659.70847512,1620.2050464,75.31969176,-0.0001000000001756,-35.20529999999983,-5.538800000000141,9.348400000000057,-4.420463039999982,-40.744000000000014,4.927936960000073,-35.81606303999994,S
ligand,78,gb,1714.0326053599997,1675.7447216799994,74.86985815999999,0.0001000000002751,-35.27639999999985,-9.995799999999946,13.05469999999992,-4.364574480000004,-45.2722999999999,8.690125519999915,-36.58217447999999,S
ligand,79,gb,1685.4968244000002,1641.2123307200002,83.71731552,4.618527782440651e-14,-38.12549999999992,-8.970500000000186,12.346199999999914,-4.683021840000007,-47.09590000000003,7.663178159999907,-39.43272184000013,S
ligand,80,gb,1710.9347536000002,1654.7887417599993,91.33643,1.2079226507921706e-13,-33.7983000000001,-9.517499999999764,12.466300000000013,-4.340918159999994,-43.31589999999979,8.125381840000017,-35.190518159999776,S
ligand,81,gb,1712.2620327199993,1676.6358004800002,76.407836,-5.506706202140776e-14,-39.67269999999999,-7.208399999999793,10.755399999999945,-4.655903759999983,-46.88119999999984,6.0994962399999615,-40.781703759999886,S
